[2024-08-28T13:11:02.681+0000][info][gc] Using G1
[2024-08-28T13:11:02.697+0000][info][gc,init] Version: 17.0.7+7-Ubuntu-0ubuntu118.04 (release)
[2024-08-28T13:11:02.698+0000][info][gc,init] CPUs: 104 total, 104 available
[2024-08-28T13:11:02.698+0000][info][gc,init] Memory: 251G
[2024-08-28T13:11:02.698+0000][info][gc,init] Large Page Support: Disabled
[2024-08-28T13:11:02.698+0000][info][gc,init] NUMA Support: Disabled
[2024-08-28T13:11:02.698+0000][info][gc,init] Compressed Oops: Enabled (32-bit)
[2024-08-28T13:11:02.698+0000][info][gc,init] Heap Region Size: 1M
[2024-08-28T13:11:02.698+0000][info][gc,init] Heap Min Capacity: 8M
[2024-08-28T13:11:02.698+0000][info][gc,init] Heap Initial Capacity: 1G
[2024-08-28T13:11:02.698+0000][info][gc,init] Heap Max Capacity: 1G
[2024-08-28T13:11:02.698+0000][info][gc,init] Pre-touch: Disabled
[2024-08-28T13:11:02.698+0000][info][gc,init] Parallel Workers: 68
[2024-08-28T13:11:02.698+0000][info][gc,init] Concurrent Workers: 17
[2024-08-28T13:11:02.698+0000][info][gc,init] Concurrent Refinement Workers: 68
[2024-08-28T13:11:02.698+0000][info][gc,init] Periodic GC: Disabled
[2024-08-28T13:11:02.698+0000][info][gc,metaspace] CDS archive(s) mapped at: [0x0000000800000000-0x0000000800be2000-0x0000000800be2000), size 12460032, SharedBaseAddress: 0x0000000800000000, ArchiveRelocationMode: 0.
[2024-08-28T13:11:02.698+0000][info][gc,metaspace] Compressed class space mapped at: 0x0000000801000000-0x0000000841000000, reserved size: 1073741824
[2024-08-28T13:11:02.698+0000][info][gc,metaspace] Narrow klass base: 0x0000000800000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2024-08-28T13:11:02.781+0000][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T13:11:02.784+0000][info][gc,task     ] GC(0) Using 24 workers of 68 for evacuation
[2024-08-28T13:11:02.794+0000][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[2024-08-28T13:11:02.794+0000][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.2ms
[2024-08-28T13:11:02.794+0000][info][gc,phases   ] GC(0)   Evacuate Collection Set: 9.0ms
[2024-08-28T13:11:02.794+0000][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[2024-08-28T13:11:02.794+0000][info][gc,phases   ] GC(0)   Other: 3.7ms
[2024-08-28T13:11:02.794+0000][info][gc,heap     ] GC(0) Eden regions: 51->0(44)
[2024-08-28T13:11:02.794+0000][info][gc,heap     ] GC(0) Survivor regions: 0->7(7)
[2024-08-28T13:11:02.794+0000][info][gc,heap     ] GC(0) Old regions: 0->44
[2024-08-28T13:11:02.794+0000][info][gc,heap     ] GC(0) Archive regions: 2->2
[2024-08-28T13:11:02.794+0000][info][gc,heap     ] GC(0) Humongous regions: 0->0
[2024-08-28T13:11:02.794+0000][info][gc,metaspace] GC(0) Metaspace: 96K(320K)->96K(320K) NonClass: 91K(192K)->91K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T13:11:02.794+0000][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 51M->51M(1024M) 13.624ms
[2024-08-28T13:11:02.794+0000][info][gc,cpu      ] GC(0) User=0.10s Sys=0.13s Real=0.01s
[2024-08-28T13:11:02.815+0000][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T13:11:02.815+0000][info][gc,task     ] GC(1) Using 24 workers of 68 for evacuation
[2024-08-28T13:11:02.822+0000][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.1ms
[2024-08-28T13:11:02.822+0000][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.3ms
[2024-08-28T13:11:02.822+0000][info][gc,phases   ] GC(1)   Evacuate Collection Set: 6.6ms
[2024-08-28T13:11:02.822+0000][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.3ms
[2024-08-28T13:11:02.822+0000][info][gc,phases   ] GC(1)   Other: 0.2ms
[2024-08-28T13:11:02.822+0000][info][gc,heap     ] GC(1) Eden regions: 44->0(44)
[2024-08-28T13:11:02.822+0000][info][gc,heap     ] GC(1) Survivor regions: 7->7(7)
[2024-08-28T13:11:02.822+0000][info][gc,heap     ] GC(1) Old regions: 44->91
[2024-08-28T13:11:02.822+0000][info][gc,heap     ] GC(1) Archive regions: 2->2
[2024-08-28T13:11:02.822+0000][info][gc,heap     ] GC(1) Humongous regions: 1->1
[2024-08-28T13:11:02.822+0000][info][gc,metaspace] GC(1) Metaspace: 97K(320K)->97K(320K) NonClass: 93K(192K)->93K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T13:11:02.822+0000][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 96M->99M(1024M) 7.668ms
[2024-08-28T13:11:02.822+0000][info][gc,cpu      ] GC(1) User=0.10s Sys=0.06s Real=0.01s
[2024-08-28T13:11:02.842+0000][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2024-08-28T13:11:02.842+0000][info][gc,task     ] GC(2) Using 24 workers of 68 for evacuation
[2024-08-28T13:11:02.850+0000][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.1ms
[2024-08-28T13:11:02.850+0000][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.1ms
[2024-08-28T13:11:02.850+0000][info][gc,phases   ] GC(2)   Evacuate Collection Set: 6.8ms
[2024-08-28T13:11:02.850+0000][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.3ms
[2024-08-28T13:11:02.850+0000][info][gc,phases   ] GC(2)   Other: 0.2ms
[2024-08-28T13:11:02.850+0000][info][gc,heap     ] GC(2) Eden regions: 44->0(44)
[2024-08-28T13:11:02.850+0000][info][gc,heap     ] GC(2) Survivor regions: 7->7(7)
[2024-08-28T13:11:02.850+0000][info][gc,heap     ] GC(2) Old regions: 91->138
[2024-08-28T13:11:02.850+0000][info][gc,heap     ] GC(2) Archive regions: 2->2
